worker_id,distance_km,rating_avg,experience_years,is_verified,is_available,normal_score,normal_rank,priority_score,priority_rank,rank_shift,abs_rank_shift,distance_score,trust_score,availability_score,service_score,experience_score,reliability_score
w_024,1.75,3.56,2,True,False,0.708,95,0.6468,77,18,18,1.0,0.912,0.0,1.0,0.2,1.0
w_025,4.2,3.69,13,True,False,0.8297,69,0.6668,72,-3,3,0.904,0.938,0.0,1.0,1.0,1.0
w_026,4.1,3.54,12,True,True,0.9724,8,0.9634,13,-5,5,0.909,0.908,1.0,1.0,1.0,1.0
w_027,3.83,4.16,4,True,True,0.906,35,0.9501,15,20,20,0.92,1.0,1.0,1.0,0.4,1.0
w_028,1.91,3.81,5,True,True,0.9155,29,0.9693,12,17,17,1.0,0.962,1.0,1.0,0.5,1.0
w_029,1.26,3.75,10,True,False,0.8375,65,0.6925,69,-4,4,1.0,0.95,0.0,1.0,1.0,1.0
w_030,4.59,4.39,7,True,True,0.9494,24,0.9568,14,10,10,0.887,1.0,1.0,1.0,0.7,1.0
w_031,11.22,4.29,2,True,True,0.71,93,0.5598,89,4,4,0.599,1.0,0.0,1.0,0.2,1.0
w_032,14.5,3.72,14,True,True,0.9588,16,0.8557,35,-19,19,0.457,0.944,1.0,1.0,1.0,1.0
w_033,9.43,4.79,2,True,True,0.7138,92,0.5792,87,5,5,0.677,1.0,0.0,1.0,0.2,1.0
w_034,11.8,3.89,12,True,True,0.9732,6,0.8902,27,-21,21,0.574,0.978,1.0,1.0,1.0,1.0
w_035,7.77,3.63,4,True,False,0.729,91,0.5962,84,7,7,0.749,0.926,0.0,1.0,0.4,1.0
w_036,5.61,4.94,10,True,True,0.8422,62,0.6608,74,-12,12,0.843,1.0,0.0,1.0,1.0,1.0
w_037,13.12,4.83,6,True,True,0.8108,77,0.6491,76,1,1,0.517,1.0,0.3,1.0,0.6,1.0
w_038,8.53,4.82,3,True,True,0.7308,88,0.594,86,2,2,0.716,1.0,0.0,1.0,0.3,1.0
w_039,14.39,4.29,14,True,True,0.9731,7,0.8653,32,-25,25,0.461,1.0,1.0,1.0,1.0,1.0
w_040,12.41,3.56,15,True,True,0.9554,17,0.8736,29,-12,12,0.547,0.912,1.0,1.0,1.0,1.0
w_041,9.87,4.72,6,True,True,0.7729,83,0.5945,85,-2,2,0.658,1.0,0.0,1.0,0.6,1.0
w_042,5.33,4.37,3,True,True,0.8878,41,0.9288,22,19,19,0.855,1.0,1.0,1.0,0.3,1.0
w_043,14.46,3.59,4,True,True,0.8624,52,0.8223,41,11,11,0.458,0.918,1.0,1.0,0.4,1.0
w_044,14.32,4.69,4,True,True,0.8832,45,0.8361,40,5,5,0.464,1.0,1.0,1.0,0.4,1.0
w_045,8.26,4.01,9,True,True,0.8664,50,0.717,65,-15,15,0.728,1.0,0.3,1.0,0.9,1.0
w_046,9.89,4.99,5,True,True,0.9078,33,0.8892,28,5,5,0.657,1.0,1.0,1.0,0.5,1.0
w_047,6.12,3.87,9,True,True,0.9695,9,0.9463,17,-8,8,0.821,0.974,1.0,1.0,0.9,1.0
w_048,10.42,3.61,14,True,True,0.9622,13,0.8968,25,-12,12,0.634,0.922,1.0,1.0,1.0,1.0
w_049,5.44,3.48,12,True,True,0.9665,10,0.947,16,-6,6,0.85,0.896,1.0,1.0,1.0,1.0
w_050,13.42,3.74,13,True,True,0.9622,14,0.8681,31,-17,17,0.503,0.948,1.0,1.0,1.0,1.0
w_051,7.89,3.93,3,True,True,0.8787,46,0.8989,24,22,22,0.744,0.986,1.0,1.0,0.3,1.0
w_052,12.94,4.67,4,True,True,0.8862,44,0.8511,36,8,8,0.524,1.0,1.0,1.0,0.4,1.0
w_053,7.03,3.83,5,True,True,0.7556,85,0.6152,82,3,3,0.781,0.966,0.0,1.0,0.5,1.0
w_054,5.73,4.49,11,True,True,0.8869,43,0.7495,57,-14,14,0.838,1.0,0.3,1.0,1.0,1.0
w_055,11.78,3.47,10,False,True,0.9022,36,0.8478,37,-1,1,0.575,0.694,1.0,1.0,1.0,1.0
w_056,8.09,4.08,3,True,False,0.7318,87,0.5988,83,4,4,0.735,1.0,0.0,1.0,0.3,1.0
w_057,13.05,4.55,4,False,True,0.8635,51,0.8364,39,12,12,0.52,0.91,1.0,1.0,0.4,1.0
w_058,14.18,4.48,14,True,False,0.8235,71,0.5676,88,-17,17,0.47,1.0,0.0,1.0,1.0,1.0
w_059,12.3,4.62,1,True,True,0.8426,61,0.843,38,23,23,0.552,1.0,1.0,1.0,0.1,1.0
w_060,11.67,4.1,1,True,True,0.739,86,0.6399,80,6,6,0.58,1.0,0.3,1.0,0.1,1.0
w_061,11.88,3.23,6,False,True,0.68,98,0.5195,93,5,5,0.57,0.646,0.0,1.0,0.6,1.0
w_062,12.37,3.77,9,True,True,0.846,58,0.6654,73,-15,15,0.549,0.954,0.3,1.0,0.9,1.0
w_063,9.6,3.35,2,True,True,0.831,68,0.8579,34,34,34,0.67,0.87,1.0,1.0,0.2,1.0
w_064,10.27,3.85,1,True,True,0.8395,63,0.8606,33,30,30,0.64,0.97,1.0,1.0,0.1,1.0
w_065,5.52,4.13,2,True,True,0.8723,48,0.9217,23,25,25,0.847,1.0,1.0,1.0,0.2,1.0
w_066,11.75,4.48,13,True,True,0.8738,47,0.684,70,-23,23,0.576,1.0,0.3,1.0,1.0,1.0
w_067,6.33,4.36,8,True,False,0.8106,78,0.6429,78,0,0,0.812,1.0,0.0,1.0,0.8,1.0
w_068,6.39,4.33,2,False,True,0.837,66,0.8922,26,40,40,0.809,0.866,1.0,1.0,0.2,1.0
w_069,10.7,4.65,5,False,True,0.8886,40,0.8699,30,10,10,0.622,0.93,1.0,1.0,0.5,1.0
w_070,6.67,3.72,14,True,True,0.8258,70,0.6408,79,-9,9,0.797,0.944,0.0,1.0,1.0,1.0
w_071,28.98,4.05,1,True,True,0.815,74,0.705,68,6,6,0.0,1.0,1.0,1.0,0.1,1.0
w_072,17.38,3.86,4,False,True,0.8196,72,0.7686,50,22,22,0.331,0.772,1.0,1.0,0.4,1.0
w_073,22.5,3.23,11,True,True,0.8119,76,0.5441,90,-14,14,0.109,0.846,0.3,1.0,1.0,1.0
w_074,26.65,3.54,6,True,True,0.867,49,0.7162,66,-17,17,0.0,0.908,1.0,1.0,0.6,1.0
w_075,25.17,3.68,4,True,True,0.844,59,0.7104,67,-8,8,0.0,0.936,1.0,1.0,0.4,1.0
w_076,23.31,3.72,6,True,True,0.7297,89,0.44,99,-10,10,0.073,0.944,0.0,1.0,0.6,1.0
w_077,25.96,4.88,8,False,True,0.914,31,0.7364,62,-31,31,0.0,0.976,1.0,1.0,0.8,1.0
w_078,20.0,4.87,1,False,False,0.6694,99,0.4554,97,2,2,0.217,0.974,0.0,1.0,0.1,1.0
w_079,28.5,4.69,6,True,True,0.89,39,0.73,63,-24,24,0.0,1.0,1.0,1.0,0.6,1.0
w_080,18.09,3.76,11,True,True,0.953,20,0.8179,42,-22,22,0.3,0.952,1.0,1.0,1.0,1.0
w_081,24.1,4.22,14,True,True,0.952,21,0.7598,51,-30,30,0.039,1.0,1.0,1.0,1.0,1.0
w_082,18.33,3.24,14,True,True,0.9265,27,0.7997,44,-17,17,0.29,0.848,1.0,1.0,1.0,1.0
w_083,23.6,4.77,7,False,True,0.7915,79,0.5333,91,-12,12,0.061,0.954,0.3,1.0,0.7,1.0
w_084,17.36,3.48,15,True,True,0.7906,80,0.5174,95,-15,15,0.332,0.896,0.0,1.0,1.0,1.0
w_085,15.95,4.24,4,True,False,0.7297,90,0.5184,94,-4,4,0.393,1.0,0.0,1.0,0.4,1.0
w_086,29.3,3.47,3,True,True,0.6685,100,0.3991,100,0,0,0.0,0.894,0.0,1.0,0.3,1.0
w_087,18.87,3.54,4,True,True,0.8503,57,0.7728,49,8,8,0.267,0.908,1.0,1.0,0.4,1.0
w_088,19.74,4.12,8,True,True,0.9314,26,0.7972,45,-19,19,0.229,1.0,1.0,1.0,0.8,1.0
w_089,26.16,3.81,12,True,False,0.7905,81,0.4443,98,-17,17,0.0,0.962,0.0,1.0,1.0,1.0
w_090,21.95,3.22,8,True,True,0.8876,42,0.7498,56,-14,14,0.133,0.844,1.0,1.0,0.8,1.0
w_091,24.73,3.68,2,True,True,0.7096,94,0.4933,96,-2,2,0.012,0.936,0.3,1.0,0.2,1.0
w_092,23.41,3.37,15,True,True,0.922,28,0.7484,59,-31,31,0.069,0.874,1.0,1.0,1.0,1.0
w_093,28.12,4.22,11,True,True,0.95,22,0.75,54,-32,32,0.0,1.0,1.0,1.0,1.0,1.0
w_094,20.87,4.42,2,False,True,0.705,97,0.5275,92,5,5,0.18,0.884,0.3,1.0,0.2,1.0
w_095,26.67,3.84,10,True,True,0.942,25,0.7452,60,-35,35,0.0,0.968,1.0,1.0,1.0,1.0
w_096,27.59,4.9,10,True,True,0.95,23,0.75,55,-32,32,0.0,1.0,1.0,1.0,1.0,1.0
w_097,17.0,4.94,6,True,True,0.9074,34,0.817,43,-9,9,0.348,1.0,1.0,1.0,0.6,1.0
w_098,20.61,4.49,2,True,True,0.8395,64,0.7577,53,11,11,0.191,1.0,1.0,1.0,0.2,1.0
w_099,23.65,4.55,2,True,True,0.8329,67,0.7247,64,3,3,0.059,1.0,1.0,1.0,0.2,1.0
w_100,18.61,4.07,2,True,True,0.8439,60,0.7795,48,12,12,0.278,1.0,1.0,1.0,0.2,1.0
