route_id,origin_name,origin_lat,origin_lon,dest_lat,dest_lon,haversine_km,osrm_km,tortuosity,abs_diff_km,duration_min,haversine_latency_ms,osrm_latency_ms,score_haversine,score_osrm,score_distortion
R_24,Kolathur,13.124,80.215,13.0827,80.2707,7.58,9.28,1.2246,1.7,11.1,0.0185,999.72,0.7573,0.6833,0.074
R_25,Kotturpuram,13.018,80.241,13.0827,80.2707,7.88,10.08,1.2794,2.2,12.5,0.0224,901.15,0.7443,0.6486,0.0957
R_26,Velachery,12.975,80.221,13.0827,80.2707,13.13,17.31,1.3179,4.17,21.3,0.0165,855.68,0.5161,0.3346,0.1815
R_27,Thiruvanmiyur,12.983,80.259,13.0827,80.2707,11.16,14.98,1.3428,3.83,17.0,0.0184,746.95,0.6018,0.4355,0.1663
R_28,Porur,13.038,80.156,13.0827,80.2707,13.38,15.33,1.1459,1.95,17.2,0.0483,717.95,0.5052,0.4203,0.0849
R_29,Ambattur,13.1143,80.1548,13.0827,80.2707,13.03,16.83,1.2915,3.8,16.5,0.0239,781.27,0.5202,0.355,0.1652
R_30,Alandur,12.9975,80.2005,13.0827,80.2707,12.15,15.45,1.2717,3.3,18.1,0.0213,904.23,0.5588,0.4153,0.1435
R_31,Meenambakkam (Airport),12.9941,80.1709,13.0827,80.2707,14.63,18.28,1.2497,3.65,19.5,0.0231,902.4,0.451,0.2922,0.1588
R_32,Pallavaram,12.9675,80.1491,13.0827,80.2707,18.37,21.33,1.1608,2.95,22.2,0.0229,905.63,0.2881,0.1596,0.1285
R_33,Chromepet,12.9516,80.1462,13.0827,80.2707,19.86,24.41,1.229,4.55,27.4,0.0203,799.7,0.2235,0.0257,0.1978
R_34,Thoraipakkam (OMR),12.9416,80.2362,13.0827,80.2707,16.13,20.42,1.2664,4.3,20.6,0.0225,861.32,0.3857,0.1989,0.1868
R_35,Perungudi,12.9654,80.2461,13.0827,80.2707,13.31,17.87,1.3423,4.56,18.4,0.0202,901.04,0.5081,0.31,0.1981
R_36,Manali,13.1667,80.2667,13.0827,80.2707,9.35,12.59,1.3469,3.24,17.0,0.0243,767.49,0.6804,0.5394,0.141
R_37,Avadi,13.1147,80.1,13.0827,80.2707,18.83,25.81,1.371,6.98,24.6,0.025,1084.06,0.2684,0.0,0.2684
R_38,Poonamallee,13.0489,80.0934,13.0827,80.2707,19.57,21.51,1.0993,1.94,20.5,0.015,800.04,0.2361,0.1517,0.0844
R_39,Medavakkam,12.9186,80.1917,13.0827,80.2707,20.15,29.96,1.4867,9.81,29.9,0.018,814.84,0.2107,0.0,0.2107
R_40,Nanmangalam,12.93,80.175,13.0827,80.2707,19.89,25.12,1.2626,5.22,32.9,0.1875,787.64,0.222,0.0,0.222
R_41,Tambaram,12.9249,80.1,13.0827,80.2707,25.49,34.98,1.372,9.48,29.8,0.0314,706.87,0.0,0.0,0.0
R_42,Sholinganallur,12.901,80.2279,13.0827,80.2707,20.73,25.05,1.2082,4.32,24.9,0.0155,894.22,0.1857,0.0,0.1857
R_43,Navalur (OMR),12.8458,80.2267,13.0827,80.2707,26.77,32.48,1.2134,5.71,32.3,0.0189,702.95,0.0,0.0,0.0
R_44,Siruseri SIPCOT,12.825,80.217,13.0827,80.2707,29.24,34.64,1.1847,5.4,35.5,0.022,1413.9,0.0,0.0,0.0
R_45,Kelambakkam,12.7878,80.22,13.0827,80.2707,33.25,38.02,1.1435,4.77,37.7,0.0232,1104.85,0.0,0.0,0.0
R_46,Vandalur,12.892,80.082,13.0827,80.2707,29.46,36.12,1.2262,6.66,29.9,0.0217,802.51,0.0,0.0,0.0
R_47,Guduvanchery,12.8439,80.0631,13.0827,80.2707,34.8,43.04,1.2366,8.23,36.0,0.0219,700.28,0.0,0.0,0.0
R_48,Red Hills,13.197,80.198,13.0827,80.2707,14.95,17.98,1.203,3.03,18.4,0.0266,799.2,0.437,0.305,0.132
R_49,Minjur,13.2783,80.2617,13.0827,80.2707,21.77,28.91,1.3279,7.14,28.4,0.0368,711.49,0.1404,0.0,0.1404
R_50,Sriperumbudur,12.97,79.94,13.0827,80.2707,37.95,40.81,1.0753,2.86,33.1,0.0243,893.91,0.0,0.0,0.0
